10:56:28 [INFO] __main__: Loading 33-asset dataset...
10:56:29 [INFO] backtest.data_loader: Loaded 132 asset/TF combinations (33 assets), 13351041 total bars (640.8 MB est.)
10:56:29 [INFO] __main__: Loading pre-computed features from disk...
10:56:29 [INFO] neo_flow.precompute_features: Loaded features for 33 assets from /home/yagokhan/VaranusNeoFlow/Varanus_Extended_v1/data/features
10:56:29 [INFO] __main__: Generated 8 WFV folds
10:56:29 [INFO] __main__: === FOLD 0 ===
11:00:29 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 3945 scans, 879 trades
11:00:31 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4282 scans, 2110 trades
11:00:33 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4302 scans, 2124 trades
11:00:35 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4313 scans, 2005 trades
11:00:37 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4306 scans, 2096 trades
11:00:39 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4302 scans, 2124 trades
11:00:41 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4302 scans, 2124 trades
11:00:43 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4302 scans, 2124 trades
11:00:44 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4302 scans, 2124 trades
11:00:46 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4306 scans, 2096 trades
11:00:48 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4282 scans, 2110 trades
11:00:50 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4080 scans, 1514 trades
11:00:52 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4242 scans, 1864 trades
11:00:54 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:00:56 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2091 trades
11:00:58 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:00:59 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:01:01 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:01:03 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4058 scans, 1385 trades
11:01:05 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4294 scans, 2085 trades
11:01:07 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:01:09 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4294 scans, 2085 trades
11:01:11 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:01:13 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4306 scans, 2101 trades
11:01:14 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:01:16 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4319 scans, 2097 trades
11:01:18 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:01:20 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:01:22 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:01:24 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:01:26 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:01:28 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:01:30 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4343 scans, 1664 trades
11:01:31 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4319 scans, 1895 trades
11:01:33 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:01:35 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:01:37 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:01:39 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4306 scans, 2098 trades
11:01:41 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:01:43 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4324 scans, 1980 trades
11:01:45 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:01:47 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4294 scans, 2085 trades
11:01:48 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4319 scans, 2097 trades
11:01:50 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4306 scans, 2098 trades
11:01:52 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:01:54 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:01:56 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:01:58 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:02:00 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:02:02 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4306 scans, 2098 trades
11:02:04 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:02:05 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4306 scans, 2098 trades
11:02:07 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4319 scans, 2097 trades
11:02:09 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:02:11 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:02:13 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:02:15 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4306 scans, 2098 trades
11:02:17 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:02:19 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4306 scans, 2098 trades
11:02:21 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:02:22 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:02:24 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4306 scans, 2098 trades
11:02:26 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4190 scans, 1691 trades
11:02:28 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4306 scans, 2098 trades
11:02:30 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:02:32 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:02:34 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:02:36 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:02:38 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:02:39 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4306 scans, 2098 trades
11:02:41 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4314 scans, 2097 trades
11:02:43 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4311 scans, 2105 trades
11:02:45 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4294 scans, 2085 trades
11:02:45 [INFO] __main__:   Fold 0: 6.3 min, best=8.7712
11:02:47 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4407 scans, 2003 trades
11:02:47 [INFO] __main__:   Fold 0 test: 2003 trades, WR=65.0%, Sharpe=9.24, DD=-12.93%
11:02:47 [INFO] __main__: === FOLD 1 ===
11:02:49 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4294 scans, 1296 trades
11:02:51 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 3967 scans, 1222 trades
11:02:53 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4358 scans, 1809 trades
11:02:54 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4090 scans, 1522 trades
11:02:56 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4204 scans, 1131 trades
11:02:58 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4389 scans, 1788 trades
11:03:00 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 3986 scans, 1087 trades
11:03:02 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4292 scans, 1610 trades
11:03:04 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4293 scans, 1858 trades
11:03:06 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4310 scans, 1491 trades
11:03:07 [INFO] backtest.engine_fast: FastBacktest complete: 1.7s, 3705 scans, 1032 trades
11:03:09 [INFO] backtest.engine_fast: FastBacktest complete: 1.7s, 3705 scans, 1031 trades
11:03:11 [INFO] backtest.engine_fast: FastBacktest complete: 1.7s, 3705 scans, 1031 trades
11:03:13 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 3848 scans, 1233 trades
11:03:14 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 3944 scans, 1190 trades
11:03:16 [INFO] backtest.engine_fast: FastBacktest complete: 1.7s, 3734 scans, 977 trades
11:03:18 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 3986 scans, 1239 trades
11:03:20 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 3936 scans, 1416 trades
11:03:22 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 3910 scans, 1055 trades
11:03:23 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4009 scans, 926 trades
11:03:25 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4113 scans, 1358 trades
11:03:27 [INFO] backtest.engine_fast: FastBacktest complete: 1.7s, 3687 scans, 1033 trades
11:03:29 [INFO] backtest.engine_fast: FastBacktest complete: 1.7s, 3710 scans, 1048 trades
11:03:30 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 3887 scans, 1167 trades
11:03:32 [INFO] backtest.engine_fast: FastBacktest complete: 1.7s, 3745 scans, 1067 trades
11:03:34 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4045 scans, 1276 trades
11:03:36 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 3869 scans, 1152 trades
11:03:38 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 3773 scans, 1085 trades
11:03:39 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 3912 scans, 1184 trades
11:03:41 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 3913 scans, 1381 trades
11:03:43 [INFO] backtest.engine_fast: FastBacktest complete: 1.7s, 3856 scans, 971 trades
11:03:45 [INFO] backtest.engine_fast: FastBacktest complete: 1.7s, 3734 scans, 977 trades
11:03:46 [INFO] backtest.engine_fast: FastBacktest complete: 1.7s, 3737 scans, 970 trades
11:03:48 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 3833 scans, 1216 trades
11:03:50 [INFO] backtest.engine_fast: FastBacktest complete: 1.7s, 3737 scans, 968 trades
11:03:52 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 3921 scans, 1299 trades
11:03:53 [INFO] backtest.engine_fast: FastBacktest complete: 1.7s, 3747 scans, 1065 trades
11:03:55 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4352 scans, 2212 trades
11:03:57 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4174 scans, 1274 trades
11:03:59 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4118 scans, 923 trades
11:04:01 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 3791 scans, 1091 trades
11:04:02 [INFO] backtest.engine_fast: FastBacktest complete: 1.7s, 3734 scans, 977 trades
11:04:04 [INFO] backtest.engine_fast: FastBacktest complete: 1.7s, 3737 scans, 968 trades
11:04:06 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 3879 scans, 1071 trades
11:04:08 [INFO] backtest.engine_fast: FastBacktest complete: 1.7s, 3710 scans, 1048 trades
11:04:10 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4019 scans, 1201 trades
11:04:11 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 3915 scans, 1080 trades
11:04:13 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 4097 scans, 1846 trades
11:04:15 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 3824 scans, 1047 trades
11:04:17 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 3895 scans, 1388 trades
11:04:19 [INFO] backtest.engine_fast: FastBacktest complete: 1.8s, 3982 scans, 1220 trades
11:04:20 [INFO] backtest.engine_fast: FastBacktest complete: 1.7s, 3723 scans, 967 trades
11:04:22 [INFO] backtest.engine_fast: FastBacktest complete: 1.7s, 3820 scans, 923 trades
11:04:24 [INFO] backtest.engine_fast: FastBacktest complete: 1.7s, 3804 scans, 940 trades
11:04:25 [INFO] backtest.engine_fast: FastBacktest complete: 1.7s, 3706 scans, 1052 trades
11:04:27 [INFO] backtest.engine_fast: FastBacktest complete: 1.9s, 4224 scans, 1927 trades
11:04:29 [INFO] backtest.engine_fast: FastBacktest complete: 1.7s, 3705 scans, 1031 trades
