10:22:18 [INFO] __main__: Loading data for 33 assets...
10:22:19 [INFO] backtest.data_loader: Loaded 132 asset/TF combinations (33 assets), 13351041 total bars (640.8 MB est.)
10:22:19 [INFO] __main__: Pre-computing scan features for all 33 assets (one-time)...
10:22:19 [INFO] neo_flow.precompute_features: Pre-computing features for 28185 1h timestamps across 33 assets...
/home/yagokhan/VaranusNeoFlow/Varanus_Extended_v1/neo_flow/precompute_features.py:229: RuntimeWarning: invalid value encountered in divide
  pr = np.where(d > 1e-15, sum_dyx / d, 0.0)
10:31:06 [INFO] __main__:   Optimizing on val 2024-04-29 → 2024-11-01 (FastBacktestEngine)
10:31:07 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4288 scans, 371 trades
10:31:08 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4349 scans, 945 trades
10:31:09 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4247 scans, 579 trades
10:31:09 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4347 scans, 651 trades
10:31:10 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4252 scans, 361 trades
10:31:11 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4372 scans, 512 trades
10:31:12 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4096 scans, 613 trades
10:31:12 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4346 scans, 611 trades
10:31:13 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4370 scans, 407 trades
10:31:14 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4219 scans, 717 trades
10:31:14 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4271 scans, 820 trades
10:31:15 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4357 scans, 835 trades
10:31:16 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4347 scans, 468 trades
10:31:17 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4199 scans, 740 trades
10:31:17 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4377 scans, 630 trades
10:31:18 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4296 scans, 692 trades
10:31:19 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4374 scans, 399 trades
10:31:20 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4332 scans, 473 trades
10:31:20 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4329 scans, 783 trades
10:31:21 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4299 scans, 826 trades
10:31:22 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4209 scans, 683 trades
10:31:23 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4310 scans, 918 trades
10:31:23 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4299 scans, 828 trades
10:31:24 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4255 scans, 824 trades
10:31:25 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4322 scans, 982 trades
10:31:26 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4298 scans, 941 trades
10:31:26 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4236 scans, 836 trades
10:31:27 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4279 scans, 913 trades
10:31:28 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4222 scans, 829 trades
10:31:29 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4337 scans, 946 trades
10:31:29 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4342 scans, 991 trades
10:31:30 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4342 scans, 991 trades
10:31:31 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4360 scans, 956 trades
10:31:32 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4360 scans, 956 trades
10:31:32 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4237 scans, 668 trades
10:31:33 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4367 scans, 677 trades
10:31:34 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4360 scans, 956 trades
10:31:35 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4291 scans, 937 trades
10:31:35 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4349 scans, 964 trades
10:31:36 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4342 scans, 991 trades
10:31:37 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4336 scans, 638 trades
10:31:37 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4342 scans, 991 trades
10:31:38 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4361 scans, 1045 trades
10:31:39 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4351 scans, 954 trades
10:31:40 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4349 scans, 1049 trades
10:31:40 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4299 scans, 908 trades
10:31:41 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4248 scans, 848 trades
10:31:42 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4361 scans, 826 trades
10:31:43 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4343 scans, 562 trades
10:31:43 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4279 scans, 856 trades
10:31:44 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4290 scans, 362 trades
10:31:45 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4348 scans, 994 trades
10:31:46 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4352 scans, 1022 trades
10:31:46 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4349 scans, 1049 trades
10:31:47 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4363 scans, 999 trades
10:31:48 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4334 scans, 1004 trades
10:31:49 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4356 scans, 979 trades
10:31:49 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4337 scans, 1009 trades
10:31:50 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4238 scans, 757 trades
10:31:51 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4319 scans, 817 trades
10:31:52 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4344 scans, 1031 trades
10:31:52 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4344 scans, 1031 trades
10:31:53 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4328 scans, 984 trades
10:31:54 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4342 scans, 1029 trades
10:31:55 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4334 scans, 1027 trades
10:31:55 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4330 scans, 1025 trades
10:31:56 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4303 scans, 947 trades
10:31:57 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4329 scans, 1041 trades
10:31:58 [INFO] backtest.engine_fast: FastBacktest complete: 0.8s, 4310 scans, 976 trades
10:31:58 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4269 scans, 910 trades
10:31:59 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4380 scans, 487 trades
10:32:00 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4342 scans, 1029 trades
10:32:00 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4319 scans, 968 trades
10:32:01 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4319 scans, 968 trades
10:32:02 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4279 scans, 926 trades
10:32:03 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4313 scans, 941 trades
10:32:03 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4338 scans, 923 trades
10:32:04 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4310 scans, 976 trades
10:32:05 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4330 scans, 960 trades
10:32:06 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4314 scans, 945 trades
10:32:06 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4209 scans, 823 trades
10:32:07 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4319 scans, 968 trades
10:32:08 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4332 scans, 992 trades
10:32:09 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4340 scans, 1016 trades
10:32:09 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4340 scans, 1016 trades
10:32:10 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4347 scans, 943 trades
10:32:11 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4340 scans, 1016 trades
10:32:12 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4339 scans, 961 trades
10:32:12 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4332 scans, 992 trades
10:32:13 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4391 scans, 417 trades
10:32:14 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4330 scans, 1022 trades
10:32:15 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4332 scans, 992 trades
10:32:15 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4340 scans, 1016 trades
10:32:16 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4340 scans, 1016 trades
10:32:17 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4340 scans, 1016 trades
10:32:18 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4347 scans, 943 trades
10:32:18 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4332 scans, 992 trades
10:32:19 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4340 scans, 1013 trades
10:32:20 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4367 scans, 670 trades
10:32:21 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4332 scans, 989 trades
10:32:21 [INFO] __main__:   Group B complete: 1.2 min, best score=12.1074
10:32:21 [INFO] __main__:   Best params: {'min_confidence': 0.91, 'min_xgb_score': 0.55, 'trail_buffer': 0.35, 'min_pvt_r': 0.75, 'combined_gate': 0.85, 'hard_sl_mult': 2.5, 'exhaust_r': 0.55, 'pos_frac': 0.06}
10:32:21 [INFO] __main__: === Group C [Momentum & Meme]: 11 assets, 100 trials ===
10:32:21 [INFO] __main__:   Optimizing on val 2024-04-29 → 2024-11-01 (FastBacktestEngine)
10:32:21 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4372 scans, 431 trades
10:32:22 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4366 scans, 951 trades
10:32:23 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4345 scans, 634 trades
10:32:24 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4375 scans, 749 trades
10:32:24 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4321 scans, 400 trades
10:32:25 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4398 scans, 657 trades
10:32:26 [INFO] backtest.engine_fast: FastBacktest complete: 0.7s, 4156 scans, 596 trades
